"Activation Key Required","要求激活密钥"
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","本条目发布于 %s。<span class=\"by-author\">作者是 %s。</span>"
"Menu","菜单"
"Skip to content","跳至内容"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">发表于 </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span>，尺寸为 <a href=\"%s\" title=\"到全尺寸图像的链接\">%s &times; %s</a>，属于 <a href=\"%s\" title=\"回到 %s\" rel=\"gallery\">%s</a>。"
"&larr; Previous","&larr; 上一个"
"Next &rarr;","下一个 &rarr;"
"No posts to display","没有可显示的文章"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","准备好发布第一篇文章了？<a href=\"%s\">从这里开始</a>。"
"Search Results for: %s","%s 的搜索结果"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","抱歉，没有符合您搜索条件的结果。请换其它关键词再试。"
"Tag Archives: %s","标签归档：%s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","WordPress 的 2012 年主题处处采用了自适应网页设计的理念进行设计，在任何设备上都显示得完美无缺。本主题还提供一个特殊的首页模板，该模板包含一组独立的小工具。其它特点还有：可选字体、自定义不同文章形式的样式、无边栏页面模板。主题支持自定义菜单、自定义顶部图像和自定义背景。"
"the WordPress team","WordPress 团队"
"Front Page Template","首页模板"
"Welcome to WordPress %s","欢迎使用 WordPress %s"
"Thank you for updating to the latest version! WordPress %s is more polished and enjoyable than ever before. We hope you like it.","感谢升级到最新版本！WordPress %s 如今变得更精致。我们希望您喜欢。"
"Version %s","%s 版本"
"What&#8217;s New","更新内容"
"Credits","鸣谢"
"Freedoms","您的自由"
"For more information, see <a href=\"%s\">the release notes</a>.","欲了解更多，参见<a href=\"%s\">发行注记</a>。"
"New Media Manager","全新的多媒体管理器"
"Beautiful Interface","界面美观"
"Adding media has been streamlined with an all-new experience, making it a breeze to upload files and place them into your posts.","添加媒体文件如今更为简单：上传，插入一气呵成！"
"Picturesque Galleries","别致的相册设计"
"Creating image galleries is faster with drag and drop reordering, inline caption editing, and simplified controls for layout.","有了拖拽排序、图片说明快速编辑、简化的控件设计，我们让整理相册变得更容易。"
"New Default Theme","全新默认主题"
"Introducing Twenty Twelve","Twenty Twelve 全新登场"
"The newest default theme for WordPress is simple, flexible, and elegant.","WordPress 的最新主题。简洁、灵活、优美。"
"What makes it really shine are the design details, like the gorgeous Open Sans typeface and a fully responsive design that looks great on any device.","细节上的设计令它与众不同。比如我们选用了美观的 Open Sans 字体、引入了响应式网页设计，在任何设备上都有很好的效果。"
"Naturally, Twenty Twelve supports all the theme features you’ve come to know and love, but it is also designed to be as great for a website as it is for a blog.","显然，Twenty Twelve 支持我们所有的主题特性，同时它不仅适用于博客，还适用于网站。"
"Retina Ready","支持 Retina 显示屏"
"So Sharp You Can&#8217;t See the Pixels","清晰到看不见像素啦"
"The WordPress dashboard now looks beautiful on high-resolution screens like those found on the iPad, Kindle Fire HD, Nexus 10, and MacBook Pro with Retina Display. Icons and other visual elements are crystal clear and full of detail.","WordPress 的新仪表盘页面在高分辨率屏幕上看起来好极了，比如 iPad、Kindle Fire HD、Nexus 10 和配备 Retina 显示屏的 MacBook Pro 等。图标等视觉元素显示清晰、详尽。"
"Smoother Experience","更平滑的体验"
"Better Accessibility","增强的可用性"
"WordPress supports more usage modes than ever before. Screenreaders, touch devices, and mouseless workflows all have improved ease of use and accessibility.","WordPress 支持了更广泛的使用方式。读屏软件、触摸设备、纯键盘操作等工作流程都变得简洁明了。"
"More Polish","精致设计"
"A number of screens and controls have been refined. For example, a new color picker makes it easier for you to choose that perfect shade of blue.","本版本还包含了对一些页面的细节优化。比如，我们的新选色器让您轻松选到您要的那种蓝色。"
"Under the Hood","面板之下"
"Meta Query Additions","元查询特性的增强"
"The <code>WP_Comment_Query</code> and <code>WP_User_Query</code> classes now support meta queries just like <code>WP_Query.</code> Meta queries now support querying for objects without a particular meta key.","<code>WP_Comment_Query</code> 和 <code>WP_User_Query</code> 类都和 <code>WP_Query</code> 一样，支持了元查询。元查询功能添加了无需指定元 key 的对象查询方式。"
"Post Objects","“Post”文章对象"
"Post objects are now instances of a <code>WP_Post</code> class, which improves performance by loading selected properties on demand.","“Post”对象变成了 <code>WP_Post</code> 类的实例，通过按需加载的方法，带来了性能上的增强。"
"Image Editing API","图像编辑 API"
"The <code>WP_Image_Editor</code> class abstracts image editing functionality such as cropping and scaling, and uses ImageMagick when available.","<code>WP_Image_Editor</code> 类将图像编辑功能抽象化，并在 ImageMagick 可用时使用它。"
"Multisite Improvements","多站点功能增强"
"<code>switch_to_blog()</code> is now significantly faster and more reliable.","<code>switch_to_blog()</code> 比以往更快、更可靠。"
"The <a href=\"%s\">WordPress API</a> is now always enabled, and supports fetching users, editing profiles, managing post revisions, and searching posts.","<a href=\"%s\">WordPress API</a> 永远启用，支持获取用户、编辑个人资料、管理文章历史版本和搜索文章。"
"http://codex.wordpress.org/XML-RPC_WordPress_API","http://codex.wordpress.org/zh-cn:XML-RPC_WordPress_API"
"External Libraries","外部库"
"WordPress now includes the <a href=\"%s\">Underscore</a> and <a href=\"%s\">Backbone</a> JavaScript libraries. TinyMCE, jQuery, jQuery UI, and SimplePie have all been updated to the latest versions.","WordPress 包含了 <a href=\"%s\">Underscore</a> 和 <a href=\"%s\">Backbone</a> JavaScript 库。TinyMCE、jQuery、jQuery UI 和 SimplePie 升级到了当前最新版本。"
"Return to Updates","返回“更新”"
"Return to Dashboard &rarr; Updates","返回“仪表盘” &rarr; “更新”"
"Go to Dashboard &rarr; Home","前往“仪表盘” &rarr; “首页”"
"Go to Dashboard","前往“仪表盘”"
"Thank you for creating with <a href=\"http://wordpress.org/\">WordPress</a>.","感谢使用 <a href=\"http://cn.wordpress.org/\">WordPress</a> 进行创作"
"Global Dashboard","全局仪表盘"
"Skip to main content","跳至主内容"
"Main content","主内容"
"Invalid plugin page","插件页面无效"
"Cannot load %s.","无法载入 %s。"
"You are not allowed to import.","您没有执行导入的权限。"
"Import","导入"
"Unknown post type.","文章类型未知。"
"You are not allowed to edit this item.","您无权编辑此项目。"
"&#8220;%s&#8221; has failed to upload due to an error","发生了一个错误，上传“%s”失败"
"Edit Comment","编辑评论"
"Overview","概述"
"You can edit the information left in a comment if needed. This is often useful when you notice that a commenter has made a typographical error.","若有需要，您可以编辑一条评论中的任何内容，特别是当评论者打错字的时候，这一功能十分有用。"
"You can also moderate the comment from this screen using the Status box, where you can also change the timestamp of the comment.","您也可以使用状态栏来审核评论、修改发布时间。"
"For more information:","更多信息："
"<a href=\"http://codex.wordpress.org/Administration_Screens#Comments\" target=\"_blank\">Documentation on Comments</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE7%sAE%sA1%sE7%s90%s86%sE9%sA1%sB5%sE9%s9D%sA2#.E8.AF.84.E8.AE.BA\" target=\"_blank\">关于评论的中文文档</a>"
"<a href=\"http://wordpress.org/support/\" target=\"_blank\">Support Forums</a>","<a href=\"http://cn.forums.wordpress.org\" target=\"_blank\">中文支持论坛</a>"
"Oops, no comment with this ID.","啊，这个 ID 不对应任何评论。"
"Go back","返回"
"You are not allowed to edit this comment.","您无权编辑该评论。"
"This comment is in the Trash. Please move it out of the Trash if you want to edit it.","评论在回收站里，如要编辑请移出回收站。"
"Moderate Comment","审核评论"
"You are about to mark the following comment as spam:","您将标记以下评论为垃圾评论："
"Spam Comment","标记为垃圾评论"
"You are about to move the following comment to the Trash:","您将移动以下评论到回收站："
"Trash Comment","移动评论至回收站"
"You are about to delete the following comment:","您将删除以下评论："
"Permanently Delete Comment","永久删除评论"
"You are about to approve the following comment:","您正在批准以下评论："
"Approve Comment","批准评论"
"This comment is currently approved.","此评论当前已获准。"
"This comment is currently marked as spam.","此评论当前已被标记为垃圾评论。"
"This comment is currently in the Trash.","此评论当前在回收站中。"
"Caution:","注意："
"You are not allowed to edit comments on this post.","您没有在这篇文章上编辑评论的权限。"
"Unknown action.","未知操作。"
"WordPress is created by a <a href=\"%s\">worldwide team</a> of passionate individuals. <a href=\"%s\">Get involved in WordPress</a>.","WordPress 是由<a href=\"%s\">全球的爱好者</a>共同创造的。<a href=\"%s\">来参与 WordPress</a> 吧！"
