"New password","Nytt lösenord"
"Choose a plugin to edit from the menu in the upper right and click the Select button. Click once on any file name to load it in the editor, and make your changes. Don&#8217;t forget to save your changes (Update File) when you&#8217;re finished.","Välj ett tillägg att redigera i menyn uppe till höger och klicka på knappen Välj. Enkelklicka på valfritt filnamn för att ladda den i redigeraren och genomför dina ändringar. Glöm inte att spara dina ändringar  (Uppdatera fil) när du är klar."
"The Documentation menu below the editor lists the PHP functions recognized in the plugin file. Clicking Lookup takes you to a web page about that particular function.","Dokumentationsmenyn under redigeraren listar de funktioner som identifieras i tilläggsfilen. Ett uppslag tar dig till dokumentationen med funktionsreferenser."
"In the editing area the Tab key enters a tab character. To move below this area by pressing Tab, press the Esc key followed by the Tab key.","I redigeringsfältet infogar Tab-tangenten ett Tab-tecken. För att förflytta sig från detta fält genom att trycka Tab, tryck på Esc-tangenten och sedan Tab-tangenten."
"If you want to make changes but don&#8217;t want them to be overwritten when the plugin is updated, you may be ready to think about writing your own plugin. For information on how to edit plugins, write your own from scratch, or just better understand their anatomy, check out the links below.","Om du vill genomföra ändringar men inte vill att de ska skrivas över när tillägget uppdateras så kanske du vill fundera på att skapa ett eget tillägg. För mer information på hur man redigerar ett tillägg, skapar ett eget från grunden eller bara vill lära sig hur anatomin för tillägg ser ut, se länkarna nedan."
"Any edits to files from this screen will be reflected on all sites in the network.","Eventuella ändringar i filer på den här sidan kommer att återspeglas på alla webbplatser i nätverket."
"<a href=\"http://codex.wordpress.org/Plugins_Editor_Screen\" target=\"_blank\">Documentation on Editing Plugins</a>","<a href=\"http://codex.wordpress.org/Plugins_Editor_Screen\" target=\"_blank\">Dokumentation för tilläggsredigering</a>"
"<a href=\"http://codex.wordpress.org/Writing_a_Plugin\" target=\"_blank\">Documentation on Writing Plugins</a>","<a href=\"http://codex.wordpress.org/Writing_a_Plugin\" target=\"_blank\">Dokumentation för hur man skapar tillägg</a>"
"Function Name&hellip;","Funktionsnamn&hellip;"
"File edited successfully.","Redigering av fil genomförd."
"This plugin has been deactivated because your changes resulted in a <strong>fatal error</strong>.","Tillägget har inaktiverats eftersom dina ändringar orsakade ett <strong>allvarligt fel</strong>."
"Editing <strong>%s</strong> (active)","Redigerar <strong>%s</strong> (aktiv)"
"Browsing <strong>%s</strong> (active)","Visar <strong>%s</strong> (aktiv)"
"Editing <strong>%s</strong> (inactive)","Redigerar <strong>%s</strong> (inte aktiv)"
"Browsing <strong>%s</strong> (inactive)","Visar <strong>%s</strong> (inte aktiv)"
"Select plugin to edit:","Välj tillägg att redigera:"
"Plugin Files","Filer för tillägg"
"Documentation:","Dokumentation:"
"Lookup","Uppslag"
"<strong>Warning:</strong> Making changes to active plugins is not recommended. If your changes cause a fatal error, the plugin will be automatically deactivated.","<strong>Varning:</strong> Det är inte rekommenderat att göra ändringar i aktiva tillägg. Om dina ändringar orsakar ett allvarligt fel kommer tillägget att inaktiveras automatiskt."
"Update File and Attempt to Reactivate","Uppdatera filen och försök återaktivera"
"Update File","Uppdatera fil"
"You need to make this file writable before you can save your changes. See <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">the Codex</a> for more information.","Du måste göra denna fil skrivbar innan du kan spara ändringar. Se <a href=\"http://wpsv.se/dokumentation/Installation:Att_ändra_skrivrättigheter\">dokumentationen</a> för mer information."
"You do not have sufficient permissions to install plugins on this site.","Du har inte tillräcklig behörighet för att installera tillägg på den här webbplatsen."
"Install Plugins","Installera tillägg"
"Plugins hook into WordPress to extend its functionality with custom features. Plugins are developed independently from the core WordPress application by thousands of developers all over the world. All plugins in the official <a href=\"%s\" target=\"_blank\">WordPress.org Plugin Directory</a> are compatible with the license WordPress uses. You can find new plugins to install by searching or browsing the Directory right here in your own Plugins section.","Tillägg utvidgar och utvecklar WordPress funktionalitet med anpassade funktioner. Tillägg utvecklas oberoende av WordPress kärna av tusentals utvecklare över hela världen. Alla tillägg i den officiella <a href=\"%s\" target=\"_blank\">Tilläggskatalogen på WordPress.org</a> är förenliga med licensen som WordPress använder. Du kan hitta nya tillägg att installera genom att söka eller bläddra i katalogen här i din egen tilläggssektion."
"Adding Plugins","Lägga till tillägg"
"If you know what you&#8217;re looking for, Search is your best bet. The Search screen has options to search the WordPress.org Plugin Directory for a particular Term, Author, or Tag. You can also search the directory by selecting popular tags. Tags in larger type mean more plugins have been labeled with that tag.","Om du vet vad du letar efter så är en sökning ditt bästa alternativ. Söksidan har alternativ för att söka i tilläggsförrådet på WordPress.org efter en specifik term, författare eller etikett. Du kan också söka i förrådet genom att välja en populär etikett. Etiketter i större format visar att fler tillägg har denna märkning."
"If you just want to get an idea of what&#8217;s available, you can browse Featured, Popular, and Newest plugins by using the links in the upper left of the screen. These sections rotate regularly.","Om du bara vill ha ett hum om vad som är tillgängligt så kan du bläddra bland utvalda, populära och nyaste tillägg genom att använda länkarna uppe till vänster på sidan. Dessa sektioner roteras regelbundet."
"You can also browse a user&#8217;s favorite plugins, by using the Favorites link in the upper left of the screen and entering their WordPress.org username.","Du kan även bläddra bland användares favorittillägg genom att använda Favorit-länken uppe till vänster på sidan och ange deras användarnamn på WordPress.org."
"If you want to install a plugin that you&#8217;ve downloaded elsewhere, click the Upload link in the upper left. You will be prompted to upload the .zip package, and once uploaded, you can activate the new plugin.","Om du vill installera ett tillägg som du har laddat ner någon annanstans, klicka på Ladda upp i det vänstra hörnet. Du kommer att uppmanas att ladda upp .zip-filen och när den laddats klart så kan du aktivera det nya tillägget."
"<a href=\"http://codex.wordpress.org/Plugins_Add_New_Screen\" target=\"_blank\">Documentation on Installing Plugins</a>","<a href=\"http://codex.wordpress.org/Plugins_Add_New_Screen\" target=\"_blank\">Dokumentation för hur man installerar teman</a>"
"You do not have sufficient permissions to manage plugins for this site.","Du har inte tillräcklig behörighet för att hantera tillägg på den här webbplatsen."
"You do not have sufficient permissions to activate plugins for this site.","Du har inte tillräcklig behörighet för att aktivera tillägg på den här webbplatsen."
"Update Plugins","Uppdatera tillägg"
"You do not have sufficient permissions to deactivate plugins for this site.","Du har inte tillräcklig behörighet för att inaktivera tillägg på den här webbplatsen."
"You do not have sufficient permissions to delete plugins for this site.","Du har inte tillräcklig behörighet för att radera tillägg på den här webbplatsen."
"Delete Plugin","Radera tillägg"
"Delete Plugins","Radera tillägg"
"This plugin may be active on other sites in the network.","Detta tillägg kan vara aktivt på andra webbplatser i nätverket. "
"These plugins may be active on other sites in the network.","Dessa tillägg kan vara aktiva på andra webbplatser i nätverket."
"You are about to remove the following plugin:","Du är på väg att ta bort följande tillägg:"
"You are about to remove the following plugins:","Du är på väg att ta bort följande tillägg:"
"<strong>%s</strong> by <em>%s</em> (will also <strong>delete its data</strong>)","<strong>%s</strong> av <em>%s</em> (kommer även att <strong>raderas dess data</strong>)"
"<strong>%s</strong> by <em>%s</em>","<strong>%s</strong> av <em>%s</em>"
"Are you sure you wish to delete these files and data?","Är du säker på att du vill radera dessa filer och data?"
"Are you sure you wish to delete these files?","Är du säker på att du vill radera dessa filer?"
"Yes, Delete these files and data","Ja, radera dessa filer och data"
"Yes, Delete these files","Ja, radera dessa filer"
"No, Return me to the plugin list","Nej, skicka mig tillbaka till lista med tillägg"
"Click to view entire list of files which will be deleted","Klicka för att visa hela listan med filer som kommer att raderas"
"Plugins extend and expand the functionality of WordPress. Once a plugin is installed, you may activate it or deactivate it here.","Tillägg utvidgar och utvecklar WordPress funktioner. När ett tillägg är installerat kan du aktivera eller inaktivera det här."
"You can find additional plugins for your site by using the <a href=\"%s\">Plugin Browser/Installer</a> functionality or by browsing the <a href=\"%s\" target=\"_blank\">WordPress Plugin Directory</a> directly and installing new plugins manually. To manually install a plugin you generally just need to upload the plugin file into your <code>/wp-content/plugins</code> directory. Once a plugin has been installed, you can activate it here.","Du hittar ytterligare tillägg för din webbplats med hjälp av <a href=\"%s\">tilläggsinstalleraren</a> eller genom att bläddra i <a href=\"%s\" target=\"_blank\">tilläggskatalogen på WordPress.org</a> direkt och installera nya tillägg manuellt. Att manuellt installera ett tillägg så behöver du generellt bara ladda upp tilläggsfilerna i din <code>/wp-content/plugins</code>-mapp. När ett tillägg är installerat kan du aktivera det här."
"Troubleshooting","Felsökning"
"Most of the time, plugins play nicely with the core of WordPress and with other plugins. Sometimes, though, a plugin&#8217;s code will get in the way of another plugin, causing compatibility issues. If your site starts doing strange things, this may be the problem. Try deactivating all your plugins and re-activating them in various combinations until you isolate which one(s) caused the issue.","För det mesta så fungerar tillägg bra med WordPress och andra tillägg. Ibland kan det dock vara så att ett tillägg kan störa ett annat tillägg och skapa kompabilitetsproblem. Om din webbplats börjar bete sig märkligt, så kan just detta vara problemet. Försök att inaktivera alla dina tillägg och återaktivera dem i olika kombinationer tills du isolerar vilka tillägg som orsakar problemen."
