"New password","Nieuw wachtwoord"
"Newer Comments &rarr;","Nieuwere reacties &rarr;"
"Permalink to %s","Permalink naar %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Lees verder <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Een reactie plaatsen"
"1 Reply","1 reactie"
"%s Replies","%s reacties"
"Nothing Found","Niets gevonden"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Helaas, er zijn geen resultaten gevonden. Misschien helpt zoeken je om een gerelateerd bericht te vinden."
"Featured post","Uitgelicht bericht"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Bekijk alle berichten van %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Semantisch persoonlijk publicatie platform"
"Proudly powered by %s","Ondersteund door %s"
"Primary Menu","Primair menu"
"on","aan"
"no-subset","geen subset."
"Page %s","Pagina %s"
"Main Sidebar","Hoofd sidebar"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Verschijnt op berichten en pagina&#39;s behalve op het optionele voorpaginasjabloon, welke eigen widgets heeft"
"First Front Page Widget Area","Eerste widgetgebied homepagina"
"Appears when using the optional Front Page template with a page set as Static Front Page","Verschijnt wanneer de optionele voorpaginasjabloon gebruikt wordt met een pagina ingesteld als statische voorpagina"
"Second Front Page Widget Area","Tweede widgetgebied hoofdpagina"
"Post navigation","Berichtnavigatie"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Oudere berichten"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Nieuwere berichten <span class=\"meta-nav\">&rarr;</span>"
"Post author","Bericht auteur"
"View all posts by %s","Alle berichten tonen van %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Dit bericht werd geplaatst in %s en getagged met %s op %s<span class=\"by-author\"> door %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Dit bericht werd geplaatst in %s op %s<span class=\"by-author\"> door %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Dit bericht werd geplaatst op %s<span class=\"by-author\"> door %s</span>."
"Skip to content","Spring naar de inhoud"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Gepubliceerd </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> op <a href=\"%s\" title=\"Link naar volledige afbeelding\">%s &times; %s</a> in <a href=\"%s\" title=\"Terug naar %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Vorige"
"Next &rarr;","Volgende &rarr;"
"No posts to display","Geen berichten om te tonen"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Klaar om je eerste bericht te publiceren? <a href=\"%s\">Hier kan je starten</a>."
"Search Results for: %s","Zoekresultaten voor: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Helaas, geen resultaten voldeden aan de zoekcriteria. Probeer het opnieuw met andere zoekwoorden."
"Tag Archives: %s","Tagarchief: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Het 2012 thema voor WordPress is een volledig responsive thema wat er op elk apparaat goed uit ziet. Kenmerken zijn een hoofdpagina template met eigen widgets, een optioneel font, stijling voor post formats op zowel overzichts- als single pagina&#39;s en een optionele template zonder sidebar. Maak het thema je eigen door een aangepast menu, header afbeelding en achtergrond te gebruiken."
"the WordPress team","het WordPressteam"
"Front Page Template","Homepage sjabloon"
"Invalid user ID.","Ongeldige gebruikers-ID"
"Embeds","Invoegen"
"Uploading Files","Bestanden uploaden"
"Store uploads in this folder","Uploads opslaan in de map"
"Default is <code>wp-content/uploads</code>","Standaard is het <code>wp-content/uploads</code>"
"Full URL path to files","Volledige URL-pad naar bestanden"
"Configuring this is optional. By default, it should be blank.","Deze optie is optioneel. Standaard zou het leeg moeten zijn."
"Organize my uploads into month- and year-based folders","Uploads bewaren in mappen op basis van maand en jaar"
"Permalink Settings","Instellingen | Permalinks"
"Permalinks are the permanent URLs to your individual pages and blog posts, as well as your category and tag archives. A permalink is the web address used to link to your content. The URL to each post should be permanent, and never change &#8212; hence the name permalink.","Permalinks zijn de URLs naar de individuele pagina&#39;s, siteberichten, categorie en tag archief. Een permalink is het webadres welk wordt gebruikt als link naar je inhoud. De URL moet permanent zijn en nooit wijzigen, vandaar de naam permalink. "
"This screen allows you to choose your default permalink structure. You can choose from common settings or create custom URL structures.","Dit scherm stelt je in staat om de standaard permalinkstructuur te wijzigen. Je kan uit de diverse mogelijkheden kiezen of een eigen structuur gebruiken."
"Common Settings","Algemene instellingen"
"Many people choose to use &#8220;pretty permalinks,&#8221; URLs that contain useful information such as the post title rather than generic post ID numbers. You can choose from any of the permalink formats under Common Settings, or can craft your own if you select Custom Structure.","Veel mensen kiezen voor het gebruik van &#8220;pretty permalinks,&#8221; URLs welke nuttige informatie  zoals de berichttitel i.p.v. de gegenereerde ID nummers. Je kunt kiezen uit &#233;&#233;n van de permalinkformats inder Algemene instellingen, of je kunt je eigen structuur maken als je de Optie Aangepaste structuur selecteert."
"If you pick an option other than Default, your general URL path with structure tags, terms surrounded by <code>%s</code>, will also appear in the custom structure field and your path can be further modified there.","Als je kiest voor een andere optie dan standaard, zal je algemene URL-pad met de structuur tags, omringd door  <code>%s</code>, ook verschijnen in het aangepaste structuur veld en je pad kan er verder worden bewerkt."
"When you assign multiple categories or tags to a post, only one can show up in the permalink: the lowest numbered category. This applies if your custom structure includes <code>%scategory%s</code> or <code>%stag%s</code>.","Wanneer je meerdere categorie&#235;n of tags toewijst aan een bericht, wordt er slechts een getoond in de permalink: de laagst genummerde categorie. Dit geldt alleen bij de aangepaste structuur <code>%scategory%s</code> of <code>%stag%s</code>."
"Custom Structures","Aan te passen structuren"
"The Optional fields let you customize the &#8220;category&#8221; and &#8220;tag&#8221; base names that will appear in archive URLs. For example, the page listing all posts in the &#8220;Uncategorized&#8221; category could be <code>/topics/uncategorized</code> instead of <code>/category/uncategorized</code>.","Met optionele velden kun je de &#8220;categorie&#8221; en &#8220;tag&#8221; basenamen aanpassen die zullen verschijnen in de archief URL&#39;s. Bijvoorbeeld, de pagina met alle berichten in de &#8220;Uncategorized&#8221; categorie kan worden <code>/onderwerpen/uncategorized</code> in plaats van <code>/categorie/uncategorized</code>."
"<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Documentation on Permalinks Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Documentatie over permalink instellingen</a>"
"<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Documentation on Using Permalinks</a>","<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Documentatie over het gebruik van Permalinks</a>"
"You should update your web.config now.","Je zou nu je web.config moeten bijwerken."
"Permalink structure updated. Remove write access on web.config file now!","Permalink structuur bijgewerkt. Verwijder schrijfrechten op bestand web.config!"
"Permalink structure updated.","Permalinkstructuur aangepast."
"You should update your .htaccess now.","Je moet nu je .htaccess aanpassen."
"By default WordPress uses web <abbr title=\"Universal Resource Locator\">URL</abbr>s which have question marks and lots of numbers in them, however WordPress offers you the ability to create a custom URL structure for your permalinks and archives. This can improve the aesthetics, usability, and forward-compatibility of your links. A <a href=\"http://codex.wordpress.org/Using_Permalinks\">number of tags are available</a>, and here are some examples to get you started.","WordPress gebruikt standaard web-<abbr title=\"Universal Resource Locator\">URL</abbr>s die vraagtekens en veel getallen bevatten. Je kunt echter een eigen URL-structuur aanmaken voor je permalinks en archief. Dit kan de weergave, bruikbaarheid en compatibiliteit van je links  verbeteren. Er zijn <a href=\"http://codex.wordpress.org/Using_Permalinks\">diverse tags beschikbaar</a> en hier zijn wat voorbeelden om je op weg te helpen."
"archives","archieven"
"Day and name","Jaar, maand, dag en naam"
"sample-post","voorbeeld-bericht"
"Month and name","Jaar, maand en naam"
"Numeric","Numeriek"
"Post name","Berichtnaam"
"Custom Structure","Aangepaste structuur"
"Optional","Optioneel"
"If you like, you may enter custom structures for your category and tag <abbr title=\"Universal Resource Locator\">URL</abbr>s here. For example, using <code>topics</code> as your category base would make your category links like <code>http://example.org/%stopics/uncategorized/</code>. If you leave these blank the defaults will be used.","Als je wilt, kan je hier aangepaste structuren voor je categorie- en tag-<abbr title=\"Universal Resource Locator\">URL</abbr>s invoeren. Als je bijvoorbeeld <code>/onderwerpen/</code> als je categoriebasis gebruikt, worden je categorielinks iets als <code>http://example.org/%stopics/geencategorie/</code>. Als je dit leeg laat, worden de standaardwaarden gebruikt."
"Category base","Categoriebasis"
"Tag base","Tagbasis"
"If your <code>web.config</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this rule inside of the <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> element in <code>web.config</code> file.","Als je<code>web.config</code>-bestand <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">beschrijfbaar</a> zou zijn, zouden we dit automatisch kunnen doen. Dit is het niet, dus hier zijn de mod_rewrite regels die in het <code>web.config</code>-bestand moeten staan. Klik in het veld en druk op <kbd>Ctrl + a</kbd> om alles te selecteren. Vervolgens kan de regel ingevoegd worden inhet <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> element van het <code>web.config</code> bestand."
"If you temporarily make your <code>web.config</code> file writable for us to generate rewrite rules automatically, do not forget to revert the permissions after rule has been saved.","Als je ervoor gekozen hebt om je <code>web.config</code> tijdelijk schrijfbaar te maken voor ons om de rewrite url automatisch te generen, vergeet dan niet om de rechten weer terug te zetten nadat deze actie is uitgevoerd."
"If the root directory of your site were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Create a new file, called <code>web.config</code> in the root directory of your site. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this code into the <code>web.config</code> file.","Als de root directory van je site <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">beschrijfbaar</a> zou zijn, zouden we dit automatisch kunnen doen doen, maar dat is niet zo. Hier is url rewrite rule welke je nodig hebt in je <code>web.config</code>. Maak een nieuw bestand, genaamd <code>web.config</code> in de root directory van je site. Klik in het veld en gebruik de <kbd>CTRL + a</kbd> toets om alle te selecteren. Voeg deze code toe aan het <code>web.config</code> bestand."
"If you temporarily make your site&#8217;s root directory writable for us to generate the <code>web.config</code> file automatically, do not forget to revert the permissions after the file has been created.","Als je ervoor gekozen hebt om je <code>web.config</code> tijdelijk schrijfbaar te maken voor ons om de rewrite url automatisch te generen, vergeet dan niet om de rechten weer terug te zetten nadat deze actie is uitgevoerd."
"If your <code>.htaccess</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so these are the mod_rewrite rules you should have in your <code>.htaccess</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all.","Als je<code>.htaccess</code>-bestand <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">beschrijfbaar</a> zou zijn, zouden we dit automatisch kunnen doen. Dit is het niet, dus hier zijn de mod_rewrite regels die in het <code>.htaccess</code>-bestand moeten staan. Klik in het veld en druk op <kbd>Ctrl + a</kbd> om alles te selecteren."
