"New password","Nueva contraseña"
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Debes <a href=\"%s\">introducir tu clave de API de Akismet</a> para que funcione."
"Akismet has detected a problem.","Akismet ha detectado un problema."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Algunos comentarios no han sido revisados por Akismet en busca de spam. Han sido temporalmente puestos en moderación. Por favor, revisa tu <a href=\"%s\">configuración de Akismet</a> y si el problema continua, habla con tu servicio de alojamiento."
"Awaiting spam check","Esperando la verificación de correo no deseado"
"Flagged as spam by Akismet","Marcado como spam por Akismet"
"Cleared by Akismet","Borrado por Akismet"
"Flagged as spam by %s","Marcado como spam por %s"
"Un-spammed by %s","Desmarcado como spam por %s"
"View comment history","Ver histórico de comentarios"
"History","Historial"
"%s approved","%s aprobados"
"%s ago","hace %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> ha protegido su sitio de %s comentario de spam hasta ahora."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> ha protegido su sitio de %s comentarios de spam hasta ahora."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> bloquea el spam que llegue a tu sitio."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Hay <a href=\"%s\">%s comentario </a> en la cola de spam en este momento."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Hay <a href=\"%s\">%s comentarios</a> en la cola de spam en este momento."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","En este momento no tienes nada en la  <a href='%s'>cola de spam</a>. "
"Check for Spam","Comprobar la lista de spam"
"%s reported this comment as not spam","%s no considera este comentario como spam"
"%s reported this comment as spam","%s considera que este comentario es spam"
"%s changed the comment status to %s","%s cambió el estado del comentario a %s"
"Akismet re-checked and caught this comment as spam","Akismet ha revisado de nuevo el comentario y lo considera spam"
"Akismet re-checked and cleared this comment","Akismet revisó de nuevo este comentario y lo ha marcado como bueno"
"Akismet was unable to re-check this comment (response: %s)","Akismet ha sido incapaz de revisar de nuevo el comentario (respuesta: %s)"
"Akismet Stats","Estadísticas de Akismet"
"Akismet caught this comment as spam","Akismet considera que este comentario es spam"
"Comment status was changed to %s","El estado del comentario se cambió a %s"
"Akismet cleared this comment","Akismet borró este comentario"
"Comment was caught by wp_blacklist_check","Comentario pillado por wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet fue incapaz de revisar este comentario (respuesta: %s), se volverá a intentar más tarde."
"Akismet caught this comment as spam during an automatic retry.","Akismet ha realizado una revisión auntomática y considera que este comentario es spam"
"Akismet cleared this comment during an automatic retry.","Akismet borró este comentario durante una revisión automática."
"Akismet Spam (%s)","Spam en Akismet (%s)"
"Akismet Spam","Spam en Akismet"
"You do not have sufficient permission to moderate comments.","No tienes autorización para moderar comentarios."
"%s comments recovered.","%s comentario ha sido recuperado."
"All spam deleted.","Todo el spam ha sido borrado."
"Caught Spam","Spam capturado"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet ha capturado <strong>%s spam</strong> desde la primera vez que lo instalaste."
"You have no spam currently in the queue. Must be your lucky day. :)","En este momento no tienes spam en cola. Debe ser tu día de suerte. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Puedes borrar todo el spam de tu base de datos con un solo clic. Esta operación no es reversible así que puede que quieras antes comprobar si hay comentarios legítimos. El spam se borra automáticamente a los 15 días, así que no te agobies."
"There are currently %s comments identified as spam.","En este momento hay %s comentarios identificados como spam."
"Delete all","Borrar todos"
"Search","Buscar"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Estos son los últimos comentarios identificados como spam por Akismet. Si encuentras algún error, sólo tienes que marcarlo como \"No es spam\" y Akismet aprenderá al recibirlo. Si deseas recuperar un comentario, selecciónalo y haz clic en \"No es spam\". Tras 15 días, la basura desaparecerá sola."
"All","Todos"
"Comments","Comentarios"
"Search Spam &raquo;","Buscar spam &raquo;"
"&laquo; Previous Page","&laquo; Página anterior"
"Next Page &raquo;","Página siguiente &raquo;"
"Not Spam","No es spam"
"View Post","Ver entrada"
"De-spam marked comments &raquo;","Quitar marca de spam &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Los comentarios a los que quites la marca de \"spam\" se enviarán a Akismet como errores para que vaya aprendiendo y mejorando."
"Recheck Queue for Spam","Volver a comprobar cola de spam"
"Akismet Widget","Widget de Akismet"
"Display the number of spam comments Akismet has caught","Muestra el número de comentarios de spam que Akismet ha capturado"
"Spam Blocked","Spam bloqueado"
"Title:","Título:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s mensajes de spam</strong> bloqueados por <strong>Akismet</strong>"
"About WordPress","Sobre WordPress"
"http://wordpress.org/","http://es.wordpress.org/"
"Documentation","Documentación"
"Support Forums","Foros de soporte"
"http://wordpress.org/support/","http://es.forums.wordpress.org/"
"Feedback","Sugerencias"
"http://wordpress.org/support/forum/requests-and-feedback","http://es.forums.wordpress.org/forum/peticiones-y-feedback"
"Howdy, %s","Hola, %s"
"My Account","Mi cuenta"
"Edit My Profile","Editar mi perfil"
"Log Out","Cerrar sesión"
"Network Admin: %s","Administrador de la red: %s"
"Global Dashboard: %s","Escritorio global: %s"
"Visit Site","Visitar sitio"
"Edit Site","Editar sitio"
"Dashboard","Escritorio"
"My Sites","Mis sitios"
"Network Admin","Administrador de la red"
"Sites","Sitios"
"Users","Usuarios"
"Visit Network","Visitar la red"
"New Post","Nueva entrada"
"Manage Comments","Gestionar comentarios"
"Shortlink","Enlace corto"
"User","Usuario"
"%s comment awaiting moderation","%s comentario está esperando moderación"
"%s comments awaiting moderation","%s comentarios están esperando moderación"
"Themes","Temas"
"Customize","Personalizar"
"Menus","Menús"
"Background","Fondo"
"Header","Cabecera"
"XML error: %s at line %d","Error de XML: %s en la línea %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Utiliza <code>get_the_author()</code> en su lugar si no quieres un valor vacío."
"Visit %s&#8217;s website","Visitar el sitio de %s"
"Posts by %s","Entradas de %s"
"Last updated: %s","Última actualización: %s"
"Bookmarks","Marcadores"
"Use <code>WP_User->ID</code> instead.","Utiliza <code>WP_User->ID</code> en su lugar."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","El uso de niveles de usuarios por plugins y temas está obsoleto. Usa los perfiles y capacidades en su lugar."
"View all posts in %s","Ver todas las entradas en %s"
"Uncategorized","Sin categoría"
"No categories","No hay categorías"
"%s topic","%s tema"
"%s topics","%s temas"
"View all posts filed under %s","Ver todas las entradas archivadas en %s"
"Feed for all posts filed under %s","Feed para todas las entradas archivadas en %s"
"Tags:","Etiquetas: "
"A valid URL was not provided.","No se ha facilitado una URL válida."
"User has blocked requests through HTTP.","El usuario ha bloqueado las peticiones a través de HTTP."
"Destination directory for file streaming does not exist or is not writable.","La carpeta de destino para cargar el archivo no existe o no tiene permisos de escritura."
"There are no HTTP transports available which can complete the requested request.","No hay medios de transporte HTTP disponibles que puedan completar la solicitud requerida."
"Could not open handle for fopen() to %s","No se pudo utilizar la función fopen() para %s."
"Too many redirects.","Demasiadas redirecciones."
"Malformed URL: %s","La URL %s está mal formada"
"No server specified","Servidor no especificado"
"Error","Error "
"no login ID submitted","no se ha enviado el ID de usuario"
"connection not established","no se estableció la conexión"
"No password submitted","No se envió la contraseña"
"Authentication failed","Autentificación fallida"
"No connection to server","No hay conexión con el servidor."
"No login ID submitted","No se ha enviado el ID de usuario"
"No server banner","No hay identificación del servidor"
"abort","cancelar"
"apop authentication failed","Falló la autenticación apop"
"Premature end of list","Final prematuro de la lista "
"Empty command string","Cadena de comandos vacía"
"connection does not exist","conexión inexistente"
"No msg number submitted","No se envió ningún número de mensaje"
"Command failed","Comando fallido"
"The menu ID should not be empty.","El ID de menú, no puede estar vacio."
"Skip to toolbar","Abrir la barra de herramientas"
"Top navigation toolbar.","Barra de herramientas en la parte superior."
"&mdash; Select &mdash;","&mdash; Elegir &mdash;"
"Default","Predeterminado"
"Hex Value","Valor hexadecimal "
"Upload","Subir"
"Remove","Eliminar"
"No Image","Sin imagen"
"Upload New","Añadir nueva"
"Uploaded","Subido"
"Remove Image","Eliminar imagen"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","El navegador de tu dispositivo no puede usarse para subir archivos. Trata de usar la <a href=\"http://wordpress.org/extend/mobile/\">aplicación nativa de tu dispositivo</a> en su lugar."
