"New password","Ny adgangskode"
"If you like, you may enter custom structures for your category and tag <abbr title=\"Universal Resource Locator\">URL</abbr>s here. For example, using <code>topics</code> as your category base would make your category links like <code>http://example.org/%stopics/uncategorized/</code>. If you leave these blank the defaults will be used.","Hvis du har lyst, så kan du lave din egen struktur på <abbr title=\"Universal Resource Locator\">URL'en</abbr> for kategorier og tags.\nDu kan f.eks. bruge <code>emner</code> til kategorier og så ville din URL til dine kategorilinks være <code>http://eksempel.org/%semner/ikke-kategoriseret/</code>. Hvis feltet er tomt bruges standardindstillingen."
"Category base","Kategoribase"
"Tag base","Tagbase"
"If your <code>web.config</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this rule inside of the <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> element in <code>web.config</code> file.","Hvis din <code>web.config</code>-fil var <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">skrivbar</a>, kunne vi g&#248;re det automatisk, men det er den ikke, s&#229; her er den  url-rewrite-regel, du skal have i din <code>web.config</code>-fil. Klik et sted i feltet og tryk <kbd>CTRL + a</kbd> for at v&#230;lge alt. Derefter skal du inds&#230;tte denne regel i <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code>-elementet i <code>web.config</code>-filen."
"If you temporarily make your <code>web.config</code> file writable for us to generate rewrite rules automatically, do not forget to revert the permissions after rule has been saved.","Hvis du midlertidigt g&#248;r din <code>web.config</code>-fil skrivbar, s&#229; vi automatisk kan generere rewrite-regler, skal du huske at &#230;ndre tillladelserne igen, n&#229;r reglerne er gemt."
"If the root directory of your site were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Create a new file, called <code>web.config</code> in the root directory of your site. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this code into the <code>web.config</code> file.","Hvis rodmappen for dit site var <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">skrivbar</a>, kunne vi g&#248;re det automatisk, men det er den ikke, s&#229; her er den url-rewrite-regel, du skal have i din <code>web.config</code>-fil. Opret en ny fil, der hedder <code>web.config</code>, i roden af dit site. Klik et sted i feltet og tryk <kbd>CTRL + a</kbd> for at v&#230;lge alt. Derefter skal du inds&#230;tte koden i <code>web.config</code>-filen."
"If you temporarily make your site&#8217;s root directory writable for us to generate the <code>web.config</code> file automatically, do not forget to revert the permissions after the file has been created.","Hvis du midlertidigt g&#248;r dit sites rodmappe skrivbar, kan vi automatisk oprette <code>web.config</code>-filen. Husk at genskabe de nuværende indstillinger, når vi har lavet filen."
"If your <code>.htaccess</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so these are the mod_rewrite rules you should have in your <code>.htaccess</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all.","Hvis din <code>.htaccess</code> var <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">skrivbar</a>, kunne vi g&#248;re det automatisk, men det er den ikke, s&#229; her er de mod_rewrite- regler, du skal have i din <code>.htaccess</code>-fil. Klik et sted i feltet og klik p&#229; <kbd>CTRL + a</kbd> for at v&#230;lge alt."
"Reading Settings","L&#230;seindstillinger"
"The <a href=\"http://codex.wordpress.org/Glossary#Character_set\">character encoding</a> of your site (UTF-8 is recommended)","<a href=\"http://codex.wordpress.org/Glossary#Character_set\">Tegnsættet</a> for dit websted (UTF-8 anbefales)"
"This screen contains the settings that affect the display of your content.","Indholdet på denne side indeholder indstillinger, der påvirker hvordan dit indhold vises."
"You can choose what&#8217;s displayed on the front page of your site. It can be posts in reverse chronological order (classic blog), or a fixed/static page. To set a static home page, you first need to create two <a href=\"%s\">Pages</a>. One will become the front page, and the other will be where your posts are displayed.","Du kan vælge, hvad der vises på forsiden af din side. Det kan være indlæg i omvendt kronologisk rækkefølge (klassisk blog) eller en fast/statisk side. Før du kan vælge en statisk side, er du nødt til at oprette to <a href=\"%s\">sider</a>. Den ene vil blive forside og den anden vil blive den side, hvor dine indlæg vises."
"You can also control the display of your content in RSS feeds, including the maximum numbers of posts to display and whether to show full text or a summary.","Du kan også kontrollere visning af dit indhold i RSS feeds, inklusiv det største antal indlæg der vises, og om hele indlægget eller et resume vises."
"Site Visibility","Sidens synlighed"
"Search Engine Visibility","Søgemaskinesynlighed"
"You can choose whether or not your site will be crawled by robots, ping services, and spiders. If you want those services to ignore your site, click the checkbox next to &#8220;Discourage search engines from indexing this site&#8221; and click the Save Changes button at the bottom of the screen. Note that your privacy is not complete; your site is still visible on the web.","Du kan vælge om robotter, ping-services og spiders skal gennemgå din side. Hvis du vil udelukke dem, skal du bare aktivere den anden mulighed her: Fortæl søgemaskinerne at de ikke skal indeksere dette websted. Derefter skal du vælge Gem ændringer nederst. Dette forhindrer dog ikke din side i at være synlig på internettet."
"When this setting is in effect, a reminder is shown in the Right Now box of the Dashboard that says, &#8220;Search Engines Discouraged,&#8221; to remind you that your site is not being crawled.","Når denne indstilling er slået til vil en påmindelse vises i \"Lige nu\" boksen i Kontrolpanelet. Denne fortæller, at \"Søgemaskiner blokeret på webstedet\" og minder dig om, at dit websted ikke bliver indekseret af søgemaskinerne."
"<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Documentation on Reading Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Dokumentation om læseindstillinger</a>"
"Encoding for pages and feeds","Kodning til sider og feeds"
"A <a href=\"%s\">static page</a> (select below)","En <a href=\"%s\">statisk side</a> (v&#230;lg nedenfor)"
"Front page: %s","Forside: %s"
"Posts page: %s","Indl&#230;gsside: %s"
"<strong>Warning:</strong> these pages should not be the same!","<strong>Advarsel:</strong> Disse sider b&#248;r ikke v&#230;re de samme!"
"Blog pages show at most","Blogsider viser h&#248;jst"
"posts","indl&#230;g"
"Syndication feeds show the most recent","Syndikeringsfeeds viser de seneste"
"items","emner"
"For each article in a feed, show","For hvert indl&#230;g, vis"
"Full text","Hele teksten"
"Summary","Resume"
"Allow search engines to index this site","Tillad at søgemaskiner indekserer dette websted."
"Discourage search engines from indexing this site","Fortæl søgemaskinerne at de ikke skal indeksere dette websted."
"Note: Neither of these options blocks access to your site &mdash; it is up to search engines to honor your request.","Bemærk: Ingen af disse indstillinger blokerer adgangen til dit websted &mdash; det er op til søgemaskinerne at respektere din anmodning."
"It is up to search engines to honor this request.","Det er op til søgemaskinerne at indfri denne anmodning."
"Writing Settings","Skriveindstillinger"
"You can submit content in several different ways; this screen holds the settings for all of them. The top section controls the editor within the dashboard, while the rest control external publishing methods. For more information on any of these methods, use the documentation links.","Du kan udgive indhold på flere forskellige måder. Dette skærmbillede indeholder indstillingerne for dem alle. Øverste del styrer editoren der dukker op rundt om i administrationen mens resten styrer eksterne udgivelsesmåder. Ønsker du mere information om disse metoder, så klik på nedenstående links for yderligere dokumentation.\n\nDu skal klikke på Gem ændringer nederst på denne side for at de nye indstillinger kan træde i kraft."
"Press This is a bookmarklet that makes it easy to blog about something you come across on the web. You can use it to just grab a link, or to post an excerpt. Press This will even allow you to choose from images included on the page and use them in your post. Just drag the Press This link on this screen to your bookmarks bar in your browser, and you&#8217;ll be on your way to easier content creation. Clicking on it while on another website opens a popup window with all these options.","'Press det' er en bookmarklet, der gør det nemt at blogge om noget, du flader over på nettet. Du kan bruge det til at snuppe et link eller til at skrive et uddrag. 'Press det' vil endda give dig mulighed for at vælge mellem billeder udgivet på siden og bruge dem i dit indlæg. Bare træk 'Press det' link på dette skærmbillede til bjælken med bogmærker i din browser. Så vil du være på vej til at kunne producere indhold på den helt nemme måde. Hvis du klikker 'Press det', mens du er på et andet websted, så  åbner et popup-vindue med ovenstående muligheder."
"Post Via Email","Indlæg via e-mail"
"Post via email settings allow you to send your WordPress install an email with the content of your post. You must set up a secret e-mail account with POP3 access to use this, and any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret.","Indstillingerne for Indlæg via e-mail giver dig mulighed for at sende en e-mail til dit WordPress websted med indholdet af dit indlæg. Du skal oprette en hemmelig e-mail-konto med POP3-adgang for at bruge denne funktion, og enhver e-mail der modtages på denne adresse vil blive offentliggjort, så er det en god idé at holde denne adresse meget hemmelig."
"Update Services","Opdateringstjenester"
"If desired, WordPress will automatically alert various services of your new posts.","Hvis du ønsker det, så kan WordPress automatisk give besked til forskellige tjenester om dine nye indlæg."
"<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Documentation on Writing Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Dokumentation om skriveindstillinger</a>"
"Formatting","Formatering"
"Convert emoticons like <code>:-)</code> and <code>:-P</code> to graphics on display","Konverter smilies som <code>:-)</code> og <code>:-P</code> til grafik ved visning"
"WordPress should correct invalidly nested XHTML automatically","WordPress skal automatisk rette ugyldigt indsat XHTML"
"Default Post Category","Standard indl&#230;gkategori"
"Default Post Format","Standard indlægsformat"
"Default Link Category","Standard linkkategori:"
"Press This is a bookmarklet: a little app that runs in your browser and lets you grab bits of the web.","\"Press det\" er en bookmarklet. Dvs. en lille app, der k&#248;rer i din browser og lader dig fange stykker af nettet rundt omkring."
"Use Press This to clip text, images and videos from any web page. Then edit and add more straight from Press This before you save or publish it in a post on your site.","Brug 'Press det' til at klippe tekst, billeder og vidoer fra enhver webside. Rediger og tilføj derefter direkte fra 'Press det', før du gemmer eller udgiver det som et indlæg på din blog."
"Drag-and-drop the following link to your bookmarks bar or right click it and add it to your favorites for a posting shortcut.","Du kan lave en \"Skriv indl&#230;g\"-genvej ved at tr&#230;k-og-slippe linket til dine bogm&#230;rker eller h&#248;jreklikke p&#229; det og tilf&#248;je det dine favoritter."
"If your bookmarks toolbar is hidden: copy the code below, open your Bookmarks manager, create new bookmark, type Press This into the name field and paste the code into the URL field.","Hvis dine bogmærkeværktøjslinje er skjult: kopier koden nedenfor, åbn din bogmærkeradministration, opret nyt bogmærke, skriv 'Press det' i feltet Navn og indsæt koden i url-feltet."
"Post via e-mail","Indl&#230;g via e-mail"
"To post to WordPress by e-mail you must set up a secret e-mail account with POP3 access. Any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret. Here are three random strings you could use: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>.","For at skrive indl&#230;g til WordPress via e-mail skal du oprette en hemmelig e-mail-konto med POP3-adgang. Alle e-mails sendt til denne adresse vil blive udgivet, s&#229; det er en god id&#233;, at holde adressen hemmelig. Her er tre tilf&#230;dige tekststrenge, du kan bruge: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>."
"Mail Server","Mailserver"
"Login Name","Loginnavn"
"Default Mail Category","Standardkategori til indl&#230;g via e-mail"
"When you publish a new post, WordPress automatically notifies the following site update services. For more about this, see <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> on the Codex. Separate multiple service <abbr title=\"Universal Resource Locator\">URL</abbr>s with line breaks.","N&#229;r du udgiver et nyt indl&#230;g, kan WordPress automatisk give forskellige websteder besked. Hvis du vil vide mere, kan du l&#230;se <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> p&#229; Codex-siden. Adskil flere <abbr title=\"Universal Resource Locator\">URL</abbr>er med linjeskift."
