"New password","Nové heslo"
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Nějaký problém se sítí nebo firewallem zcela blokuje připojení vašeho webserveru k serveru Akismet.com.  <strong>Akismet bohužel nebude fungovat, dokud nebude tento problém vyřešen.</strong>  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o Akismetu a nastavení firewallu</a>."
"All Akismet servers are available.","Všechny servery Akismetu jsou dostupné."
"Akismet is working correctly.  All servers are accessible.","Akismet funguje správně.  Všechny servery jsou dostupné."
"Unable to find Akismet servers.","Nepodařilo se nalézt servery Akismetu."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Nějaký problém s DNS nebo firewallem znemožňuje jakýkoli přístup vašeho webserveru k serveru Akismet.com.  <strong>Akismet bohužel nebude fungovat, dokud nebude tento problém vyřešen.</strong>  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o Akismetu a nastavení firewallu</a>."
"Akismet server","Servery Akismetu"
"Network Status","Stav"
"Accessible","Dostupný"
"Re-trying","Připojování..."
"Last checked %s ago.","Poslední kontrola proběhla před %s."
"Check network status &raquo;","Ověřit aktuální dostupnost serverů &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Kliknutím</a> se můžete okamžitě ujistit, zda je služba Akismet.com v současné chvíli <a href=\"%s\" target=\"_blank\">funkční</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> už ochránil web před <a href=\"%s\">%s útoky komentářového spamu</a>."
"Akismet is almost ready.","Akismet je téměř připraven."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Aby vše správně fungovalo, musíte ještě <a href=\"%s\">zadat svůj API klíč</a>."
"Akismet has detected a problem.","U Akismetu se objevil nějaký problém."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Akismet ještě nestačil zkontrolovat některé komentáře, zda neobsahují spam, takže byly dočasně zadrženy ve frontě komentářů čekajících na schválení. Zkontrolujte prosím <a href=\"%s\">nastavení Akismetu</a> a v případě trvajících problémů kontaktujte svého poskytovatele hostingu."
"Awaiting spam check","Komentář zatím nebyl zkontrolován, zda neobsahuje spam"
"Flagged as spam by Akismet","Akismet označil komentář jako spam"
"Cleared by Akismet","Akismet komentář schválil"
"Flagged as spam by %s","%s označil komentář jako spam"
"Un-spammed by %s","%s rozhodl, že nejde o spam"
"View comment history","Zobrazit vývoj změn komentáře"
"History","Historie"
"%s approved","%s schválené"
"%s ago","před %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> už ochránil web před %s útokem komentářového spamu."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> už ochránil web před %s útoky komentářového spamu."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> zadržuje komentářový spam, aby se nezobrazoval na webu."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","V tuto chvíli máte ve spamovém koši <a href=\"%s\">%s komentář</a>."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","V tuto chvíli máte ve spamovém koši <a href=\"%s\">%s komentáře</a>."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","V tuto chvíli není <a href='%s'>ve spamovém koši</a> žádný komentář."
"Check for Spam","Překontrolovat komentáře, zda neobsahují spam"
"%s reported this comment as not spam","%s rozhodl, že tento komentář není spam"
"%s reported this comment as spam","%s označil tento komentář jako spam"
"%s changed the comment status to %s","%s změnil stav komentáře na %s"
"Akismet re-checked and caught this comment as spam","Akismet znovu zkontroloval tento komentář a označil ho jako spam"
"Akismet re-checked and cleared this comment","Akismet znovu zkontroloval tento komentář a rozhodl, že nejde o spam"
"Akismet was unable to re-check this comment (response: %s)","Akismet nemohl znovu zkontrolovat tento komentář (chyba: %s)"
"Akismet Stats","Statistika Akismet"
"Akismet caught this comment as spam","Akismet zadržel tento komentář a označil ho jako spam"
"Comment status was changed to %s","Stav komentáře byl změněn na %s"
"Akismet cleared this comment","Akismet schválil tento komentář"
"Comment was caught by wp_blacklist_check","WordPress zadržel tento komentář na základě nastavené černé listiny (funkce wp_blacklist_check) a označil ho jako spam"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet nemohl zkontrolovat tento komentář (chyba: %s), ale automaticky to zkusí znovu později."
"Akismet caught this comment as spam during an automatic retry.","Akismet během opakované automatické kontroly tento komentář zadržel a označil ho jako spam."
"Akismet cleared this comment during an automatic retry.","Akismet během opakované automatické kontroly tento komentář schválil."
"You do not have sufficient permission to moderate comments.","Nemáte dostatečné oprávnění pro moderování komentářů."
"%s comments recovered.","Obnovené komentáře: %s."
"All spam deleted.","Všechny spamy byly smazány."
"Caught Spam","Antispamová kontrola"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Od instalace tohoto pluginu zachytil Akismet celkem <strong>%s spamů</strong>."
"You have no spam currently in the queue. Must be your lucky day. :)","Dnes na vás nečeká ve frontě ke schválení žádný spam. Šťastný den. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Můžete smazat jedním kliknutím všechny spamy, které jsou uloženy ve vaší databázi. Tato operace se však nedá vrátit zpět, takže doporučujeme důkladně tyto mazané komentáře zkontrolovat. Všechny komentáře označené jako spam budou automaticky odstraněny po 15 dnech, takže se jejich mazáním nemusíte vůbec zabývat."
"There are currently %s comments identified as spam.","Momentálně máte %s komentářů označených jako spam."
"Delete all","Smazat všechny"
"Search","Hledat"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Zde je přehled posledních komentářů, které Akismet označil jako spam. Pokud jsou některé komentáře označeny chybně jako spam, tak u nich zaškrtněte možnost \"Není spam\" a výběr nakonec potvrďte dole na stránce kliknutím na tlačítko \"Vybrané komentáře označit jako korektní\". Akismet si to zapamatuje a přístě již tuto chybu neudělá. Raději zachycené spamy občas zkontrolujte, protože budou vždy po 15 dnech všechny automaticky smazány."
"All","Celkem"
"Comments","komentářů na stránku"
"Search Spam &raquo;","Hledat spam &raquo;"
"&laquo; Previous Page","&laquo; Předchozí stránka"
"Next Page &raquo;","Další stránka &raquo;"
"Not Spam","Není spam"
"View Post","Zobrazit příspěvek"
"De-spam marked comments &raquo;","Vybrané komentáře označit jako korektní &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentáře, které označíte jako korektní, budou automaticky oznámeny autorům Akismetu a pomohou do budoucna zlepšit funkce tohoto antispamu."
"Recheck Queue for Spam","Překontrolovat komentáře, zda neobsahují spam"
"Akismet Widget","Akismet"
"Display the number of spam comments Akismet has caught","Zobrazuje celkový počet komentářů, které Akismet na webu zachytil a označil jako spam."
"Spam Blocked","Boj proti spamu"
"Title:","Název:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong>Akismet</strong> zablokoval <strong class=\"count\">%s spamy</strong>"
"About WordPress","O WordPressu"
"WordPress.org","Česká lokalizace"
"http://wordpress.org/","http://cs.wordpress.org/"
"Documentation","Manuál (anglicky)"
"Support Forums","Fórum podpory (česky)"
"http://wordpress.org/support/","http://www.separatista.net/forum/"
"Feedback","Kontakt"
"http://wordpress.org/support/forum/requests-and-feedback","http://cs.wordpress.org/contact/"
"Howdy, %s","Přihlášený uživatel: %s"
"My Account","Můj účet"
"Edit My Profile","Profil"
"Log Out","Odhlásit se"
"Network Admin: %s","Síť webů: %s"
"Global Dashboard: %s","Globální nástěnka: %s"
"Visit Site","Zobrazit web"
"Edit Site","Upravit web"
"Dashboard","Nástěnka"
"My Sites","Moje weby"
"Network Admin","Administrace sítě webů"
"Sites","Weby"
"Users","uživatelů na stránku"
"Visit Network","Zobrazit síť webů"
"New Post","Vytvořit příspěvek"
"Manage Comments","Komentáře"
"Shortlink","Zkrácený odkaz"
"User","Vytvořit uživatele"
"%s comment awaiting moderation","%s komentář čeká na schválení"
"%s comments awaiting moderation","%s komentáře čekají na schválení"
"Themes","Šablony"
"Customize","Přizpůsobit"
"Widgets","Widgety"
"Menus","Menu"
"Background","Pozadí"
"Header","Záhlaví"
"XML error: %s at line %d","Chyba v XML: %s na řádku %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Pokud nechcete autora přímo zobrazit, použijte raději funkci <code>get_the_author()</code>."
"Visit %s&#8217;s website","Navštívit web %s"
"Posts by %s","Příspěvky od %s"
"Last updated: %s","Poslední aktualizace: %s"
"Bookmarks","Záložky"
"Use <code>WP_User->ID</code> instead.","Použijte raději <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Starý systém číslovaných uživatelských úrovní používaný v pluginech a šablonách již není nadále podporován. Použijte místo něj raději současné uživatelské úrovně fungující na základě přidělování jednotlivých pravomocí."
"View all posts in %s","Zobrazit všechny příspěvky z rubriky %s"
"Uncategorized","Nezařazené"
"No categories","Žádné rubriky"
"%s topic","%s příspěvek"
"%s topics","%s příspěvky"
"View all posts filed under %s","Zobrazit všechny příspěvky zařazené do rubriky %s"
"Feed for all posts filed under %s","RSS zdroj pro všechny příspěvky zařazené do rubriky %s"
"Tags:","Štítky:"
"A valid URL was not provided.","Nebyla zadána platná URL adresa."
"User has blocked requests through HTTP.","Uživatel zablokoval požadavky přes HTTP protokol."
"Destination directory for file streaming does not exist or is not writable.","Cílový adresář pro streamování souboru patrně neexistuje nebo do něj není možné zapisovat."
"There are no HTTP transports available which can complete the requested request.","Požadovaná akce nemůže být dokončena, protože nejsou dostupné žádné možnosti přenosu prostřednictvím HTTP protokolu."
