"New password","新規パスワード"
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","ネットワーク障害もしくはファイアウォールにより、ご使用のウェブサーバーから Akismet.com への一部の接続がブロックされています。Akismet は作動中ですが、ネットワークが混雑している際には問題が発生することがあります。ホスティング管理者もしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールに関する情報</a>をお伝えください。"
"Unable to reach any Akismet servers.","Akismet サーバーに接続できません。"
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","ネットワーク障害もしくはファイアウォールにより、ご使用のウェブサーバーから Akismet.com へのすべての接続がブロックされています。 <strong>Akismet はこの問題が解決しない限り正常に動作できません。</strong>ホスティング管理者もしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールに関する情報</a>をお伝えください。"
"All Akismet servers are available.","Akismet サーバーはすべて利用可能です。"
"Akismet is working correctly.  All servers are accessible.","Akismet は正常に動作しています。すべてのサーバーにアクセスできています。"
"Unable to find Akismet servers.","Akismet が見つかりません。"
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","DNS の障害もしくはファイアウォールにより、お使いのウェブサーバーから Akismet.com へ接続できません。<strong>Akismet はこの問題が解決しない限り正常に動作できません。</strong>ホスティング管理者もしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールに関する情報</a>をお伝えください。"
"Akismet server","Akismet サーバー"
"Network Status","ネットワーク状況"
"Accessible","アクセス可能"
"Re-trying","再試行中"
"Last checked %s ago.","最後の確認は %s 前です。"
"Check network status &raquo;","ネットワーク状況を確認 &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Akismet.com が正常に動いているか</a>確認するには<a href=\"%s\" target=\"_blank\">こちらをクリック</a>してください。"
"Spam","スパム"
"Akismet is almost ready.","Akismet はもうすぐ利用できます。"
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","利用するには、<a href=\"%s\">Akismet API キーを入力</a> する必要があります。"
"Akismet has detected a problem.","Akismet が障害を検知しました。"
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","一部のコメントがまだ Akismet によるスパムチェックを受けていないため、一時的に承認待ちになっています。 <a href=\"%s\">Akismet 設定</a>を確認し、問題が解決しない場合はホスティングサービスに連絡してください。"
"Awaiting spam check","スパムチェック待ち"
"Flagged as spam by Akismet","Akismet によりスパムと判定"
"Cleared by Akismet","Akismet により消去"
"Flagged as spam by %s","%s がスパムと判定"
"Un-spammed by %s","%s がスパム判定を解除"
"View comment history","コメント履歴を表示"
"History","履歴"
"%s ago","%s前"
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> はスパムがブログにたどりつくのを阻止します。"
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","現在<a href='%s'>スパムと判断されたコメント</a>はありません。"
"Check for Spam","スパムチェック"
"%s reported this comment as not spam","%s がこのコメントを非スパムと判断"
"%s reported this comment as spam","%s がこのコメントをスパムと判断"
"%s changed the comment status to %s","%s がコメントの状態を %s に変更"
"Akismet re-checked and caught this comment as spam","Akismet が再検証の際にこのコメントをスパムと判定"
"Akismet re-checked and cleared this comment","このコメントは Akismet での再検証に合格しました。"
"Akismet was unable to re-check this comment (response: %s)","Akismet はこのコメントの再検証に失敗しました (レスポンス: %s) 。"
"Akismet Stats","Akismet 統計"
"Akismet caught this comment as spam","Akismet がこのコメントをスパムと判断"
"Comment status was changed to %s","コメントの状態を %s へと変更しました"
"Akismet cleared this comment","Akismet はこのコメントを破棄しました"
"Comment was caught by wp_blacklist_check","コメントは wp_blacklist_check に捕らえられました"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet によるこのコメントの再検証に失敗しました (レスポンス: %s)。後で自動的に再検証します。"
"Akismet caught this comment as spam during an automatic retry.","自動再試行の際に Akismet がこのコメントをスパムと判断しました。"
"Akismet cleared this comment during an automatic retry.","Akismet は自動再試行中にこのコメントを破棄しました。"
"Akismet Spam (%s)","Akismet スパム (%s) "
"Akismet Spam","Akismet スパム"
"You do not have sufficient permission to moderate comments.","コメントをモデレートするための十分な権限がありません。"
